0,"COMPUTER TERMINAL SYSTEMS & lt ; CPML > COMPLETES SALE Computer Terminal Systems Inc said it has completed the sale of 200 , 000 shares of its common stock , and warrants to acquire an additional one mln shares , to & lt ; Sedio N . V .> of Lugano , Switzerland for 50 , 000 dlrs . The company said the warrants are exercisable for five years at a purchase price of . 125 dlrs per share . Computer Terminal said Sedio also has the right to buy additional shares and increase its total holdings up to 40 pct of the Computer Terminal ' s outstanding common stock under certain circumstances involving change of control at the company . The company said if the conditions occur the warrants would be exercisable at a price equal to 75 pct of its common stock ' s market price at the time , not to exceed 1 . 50 dlrs per share . Computer Terminal also said it sold the technolgy rights to its Dot Matrix impact technology , including any future improvements , to & lt ; Woodco Inc > of Houston , Tex . for 200 , 000 dlrs . But , it said it would continue to be the exclusive worldwide licensee of the technology for Woodco . The company said the moves were part of its reorganization plan and would help pay current operation costs and ensure product delivery . Computer Terminal makes computer generated labels , forms , tags and ticket printers and terminals ."
1,NATIONAL AMUSEMENTS AGAIN UPS VIACOM & lt ; VIA > BID Viacom International Inc said & lt ; National Amusements Inc > has again raised the value of its offer for Viacom ' s publicly held stock . The company said the special committee of its board plans to meet later today to consider this offer and the one submitted March one by & lt ; MCV Holdings Inc >. A spokeswoman was unable to say if the committee met as planned yesterday . Viacom said National Amusements ' Arsenal Holdings Inc subsidiary has raised the amount of cash it is offering for each Viacom share by 75 cts to 42 . 75 dlrs while the value of the fraction of a share of exchangeable Arsenal Holdings preferred to be included was raised 25 cts to 7 . 75 dlrs . National Amusements already owns 19 . 6 pct of Viacom ' s stock .
2,"U . K . GROWING IMPATIENT WITH JAPAN - THATCHER Prime Minister Margaret Thatcher said the U . K . Was growing more impatient with Japanese trade barriers and warned that it would soon have new powers against countries not offering reciprocal access to their markets . She told Parliament that the bid by the U . K .' s Cable and Wireless Plc & lt ; CAWL . L > to enter the Japanese telecommunications market was being regarded by her government as a test case . "" I wrote to the prime minister of Japan , Mr Nakasone , on the fourth of March to express our interest on the Cable and Wireless bid . I have not yet had a reply . We see this as a test on how open the Japanese market really is ,"" Thatcher said . Thatcher told Parliament that "" shortly ... We shall have more powers than we have now , when , for example the powers under the Financial Services Act and the Banking Act become available , then we shall be able to take action in cases where other countries do not offer the same full access to financial services as we do ."" Cable and Wireless is seeking a stake in the proposed Japanese telecommunications rival to Kokusai Denshin Denwa . But the Japanese minister for post and telecommunications was reported as saying that he opposed Cable and Wireless having a managerial role in the new company ."
3,"GOULD & lt ; GLD > COMPLETES SALE OF FRENCH BATTERY UNIT Gould Inc said it has completed the sale of its French battery business , Compagnie Francaise D ' Electro Chimie , to a group of investors including the unit ' s employees and & lt ; GNB Inc > of Minnesota . Gould did not disclose terms of the deal . Gould said the move is part of its previously announced plan to divest assets unrelated to its computer and electronics businesses ."
4,"FIRST WISCONSIN & lt ; FWB > TO BUY MINNESOTA BANK First Wisconsin Corp said it plans to acquire Shelard Bancshares Inc for about 25 mln dlrs in cash , its first acquisition of a Minnesota - based bank . First Wisconsin said Shelard is the holding company for two banks with total assets of 168 mln dlrs . First Wisconsin , which had assets at yearend of 7 . 1 billion dlrs , said the Shelard purchase price is about 12 times the 1986 earnings of the bank . It said the two Shelard banks have a total of five offices in the Minneapolis - St . Paul area ."
5,"& lt ; MERIDIAN ENERGY >, CASTONE END LETTER OF INTENT & lt ; Meridian Energy Inc > and Castone Development Corp , a privately - held company , jointly announced that they have decided to terminate the letter of intent under which Meridian would have acquired Castone ."
6,"FED ' S HELLER URGES BROAD REFORM TO AID BANKING Federal Reserve Board Governor Robert Heller said the banking system could be strengthened by permitting formation of financial services holding companies involved in areas like banking , insurance , real estate and securities . In a speech prepared for delivery in New York to the Bank and Financial Analysts ' Association , Heller said , "" I believe that increased diversification along geographic and product lines is the key to strengthening the American banking system ."" He said he supported the idea of financial services holding companies advocated by the Association of Bank Holding Companies in which regulation of various bank , thrift , insurance , investment , securities and real estate subsidiaries would be handled on functional lines . "" Limits would be placed on the extension of credit by the bank to the associated institutions , and all transactions would have to be on an arms - length basis ,"" Heller said . Measures would be necessary to avoid abuse of the banks ' special position by such holding companies or subsidiaries . Heller said he "" would require the holding company to serve as a ' source of strength ' to the bank by making a commitment to maintain the bank ' s capital . "" In other words , the bank would not be allowed to fail as long as the holding company has a positive net worth ."" Heller also said commercial enterprises should be permitted to own a financial services holding company , again with the provision that capital would flow to the financial enterprise if necessary . Heller said the effects of these actions "" would be banks that are at least as strong as the corporations holding them "" in which customer deposits were assured while any incentive to "" loot the bank "" was removed . Such diversification would give access to national and international financial services to corporations across the United States . Heller said that would mean "" the steady decline of America ' s banks in the world financial league tables would be arrested "" by permitting them to become more competitive ."
7,"GOULD & lt ; GLD > SELLS FRENCH BATTERY UNIT Gould Inc said it sold its French Battery unit , Cie Francaise d ' Electro Chimie , to a group of investors including the unit ' s employees and & lt ; GNB Inc > of Minnesota . Terms of the sale were not disclosed . The unit had 1986 sales of 65 mln dlrs ."
8,"FIDELITY & lt ; FNF > UNIT ACQUIRES CALIFORNIA CONCERN Fidelity National Financial Inc said its Fidelity National Title Insurance Co subsidiary acquired the operations of Safeco Title Insurance Co in the northern California counties of Alameda , Contra Costa and San Mateo . Terms of the acquisition were not disclosed ."
9,BP MANAGING DIRECTOR SAYS COMPANY DOES NOT PLAN TO HIKE 70 DLRS STANDARD OFFER BP MANAGING DIRECTOR SAYS COMPANY DOES NOT PLAN TO HIKE 70 DLRS STANDARD OFFER
10,"SECURITY & lt ; SPC >, USERS , END MERGER TALKS Security Pacific Corp and & lt ; Users Inc >, a credit union data processing concern , said they have mutually agreed to withdraw from further merger negotiations . Users said that since it signed a letter of intent to merge with Security in November , it has received a strong show of support for continuing the credit union ownership of the company with credit unions committing themselves to purchase additional Users common . Users also said it is in the strongest financial position in its 24 - year history ."
11,"DENNISON MANUFACTURING & lt ; DSN > TO SELL PAPER UNIT Dennison Manufacturing Co said it has signed a letter of intent to sell its Dunn Paper Co subsidiary to James River Corp & lt ; JR > for an undisclosed amount of cash , resulting in a first quarter charge against earnings . The company saiud the loss on the sale may be partly reduced by contingent payments over the next five years and will in the first quarter be more than offset by the gain from the previously - announced sale of its Hygeia Sciences Inc shares . Dunn had sales last year of about 65 mln dlrs . In Richmond , Va ., James River said closing is expected by the end of April , subject to approval by both boards and on the reaching of satisfactory labor agreements ."
12,"PILLSBURY & lt ; PSY > FILES FOR SECOND BURGER KING MLP The Pillsbury Co said it filed a registration statement with the Securities and Exchange Commission for the sale of limited partnership interests in a second master limited partnership of its Burger King unit ' s restaurant properties . Pillsbury said it expects the offering to yield 73 - 82 mln dlrs , resulting in an after - tax gain of 20 - 23 mln dlrs . A spokesman for Pillsbury said the company is aiming to get this after - tax gain in the fourth fiscal quarter ending in May . Pillsbury said the sale will occur as soon as practicable , considering the business and legal contigencies . The company said Burger King and another Pillsbury unit , QSV Properties , will be the master limited partnership ' s general partner . Pillsbury said it expects the interests to be sold to public investors and listed for trading on the New York Stock Exchange . Merrill Lynch will lead the underwriting , Pillsbury said . Pillsbury first sold limited partnership interests in Burger King Investors L . P . in February 1986 ."
13,"BP & lt ; BP > DOES NOT PLAN TO HIKE STANDARD & lt ; SRD > BID British Petroleum Co Plc does not intend to raise the price of its planned 70 dlr per share offer for the publicly held 45 pct of Standard Oil Co , BP Managing Director David Simon said . "" We don ' t seen this as any progressive bidding game ,"" he told reporters at a news conference . BP now owns 55 pct of Standard ' s stock . Simon said BP had carefully considered the amount of its planned bid and he quoted an oil analyst , whom he would not identify , as saying BP ' s careful evaluation means the company is not going to raise its offer . "" I think that ( an increase ) would be totally wrong . I think the price is very fair and it is much to early to speculate about ligigation ,"" he said . "" Let ' s wait and see how the offer runs ."" Another official declined to speculate under what circumstances BP might raise its bid . The BP official said the 70 dlrs a share offer is 7 . 2 times Standard ' s 1986 cash flow and 56 pct above an independent evaluation of the company ' s assets , including the value of its oil , natural gas liquids and natural gas reserves . He said the price Royal Dutch / Shell Group & lt ; RD > & lt ; SC > paid for publicly held Shell Oil Co shares in 1985 was 5 . 1 times cash flow . The BP official also said the 70 dlr bid is a 40 pct premium over Standard ' s stock price over the past year . BP Group Treasurer Rodney Chase said more than half to as much as two - third ' s of the 7 . 4 billion dlrs BP needs for its offer will come from existing sources . The rest will be financed by new debt . BP will draw in cash from its operating companies around the world and is also arranging a five billion dlr line of credit , he explained . The company ' s debt to equity ratio will rise 11 or 12 percentage points from the current 33 pct if the offer is completed , Chase said . But the ratio will be back below 40 pct within 12 months , he added . Chase also said 50 to 60 pct of Standard Oil ' s publicly held shares are held by financial institutions . Simon said Standard ' s board was informed of the offer on March nine and has been considering it since that time . He said BP does not expect any regulatory problems that would delay completion of the acquisition . "" We have informed Washington of our intentions and we ' ve already been an integral part of ownership of U . S . oil reserves ,"" he pointed out . Simon said there is a good chance that current world oil prices of about 18 dlrs a barrel could be maintained , and that the more stable market is due mostly to changes in policy in Saudi Arabia and other OPEC members to control oil production . "" We think there are signals that current conditions are more favorable than they have been for sometime ,"" Simon said . "" We have hopes for greater stability , but we do not see prices going much higher ,"" he added ."
14,"LOUISIANA - PACIFIC & lt ; LPX > TO SELL SAWMILL Louisiana - Pacific Corp said it plans to sell its sawmill in Lakeview , Oregon and 18 , 000 acres of timberland to Ostrander Construction Co . The company said the transaciton shoould be finalized in early April . Terms were not disclosed ."
15,SUBURBAN BANCORP & lt ; SUBBA > MERGER APPROVED Suburban Bancorp Inc said it received approval from the Federal Reserve Board to acquire & lt ; Valley National Bank of Aurora > for an undisclosed price . Suburban said it has received shareholder tenders for 100 pct of Valley National ' s stock .
16,"FAIR LANES & lt ; FAIR > SHAREHOLDERS APPROVE MERGER Fair Lanes Inc said its shareholders approved the previously announced merger with Maricorp Inc , a unit of & lt ; Northern Pacific Corp >. Under terms of the merger , Fair Lanes said each of its shares of common stock will be converted into the right to receive 1 . 3043 shares of & lt ; BTR Realty Inc >, which is owned by Fair Lines ."
17,"CB AND T & lt ; CBTB > TO MAKE ACQUISITION CB and T Bancshares Inc said the board of Carrolton State Bank of Carrolton , Ga ., has approved a merger into CB and T for an undisclosed amount of stock , subject to approval by regulatory agencies and Carrolton shareholders . Carrolton has 26 mln dlrs in assets ."
18,"USX & lt ; X > SAYS TALKS ENDED WITH BRITISH PETROLEUM USX Corp chairman David Roderick said the company had ended talks with British Petroleum Co Plc & lt ; BP > about the possible sale of some energy assets and said USX has no immediate restructuring plans for its oil businesses . "" We have terminated our discussions ,"" Roderick told Reuters after a speech to the Petroleum Equipment Suppliers Association here . He said USX was not conducting talks with any other possible buyer of its energy assets . Earlier today , BP said it planned to offer 70 dlrs per share for the Standard Oil Co ' s & lt ; SRD > publicly held stock . USX said in December the company had held formal discussions with BP about the potential sale of some of its overseas oil assets and USX had received expressions of interest from a half dozen other oil companies . Roderick , in response to a question , said USX had no immediate plans to restructure its Marathon Oil Co , or Texas Oil and Gas Corp . He said USX also did not plan to sell any of its 49 pct interest in the giant Yates Field in west Texas . "" We want to maintain our production in the Yates Field during these difficult times ,"" Roderick added . In response to a question , Roderick also said he did not know whether Australian investor Robert Holmes a Court was accumulating USX stock . In recent days , traders have suggested Holmes a Court was buying additional shares . Roderick said Carl Ichan , who terminated an eight billion dlr hostile takeover plan for USX in January , continued to hold a sizable interest in the company . "" Mr . Ichan still apparently has 11 . 4 pct . He hasn ' t bought any more stock or sold any ,"" Roderick said . "" He ' s a very satisfied shareholder right now . I talk with him monthly ."" In his speech , Roderick predicted the fall in the value of the dollar would set the stage for the U . S . to solve its trade deficit problem which totaled 170 billion dlrs in 1986 . "" I expect by the early 1990s the U . S . will be running a net trade surplus ,"" Roderick said . "" I think the worst is over and we can look forward to stability and upward movement ahead ."" However , the USX chairman warned that European trading partners may resist the turn in the U . S . trade deficit . "" Some economic discomfort must be transferred from the United States to our friends , trading partners and allies ."""
19,"FIRST FINANCIAL & lt ; FFMC > BUYS CONFIDATA First Financial Management Corp said it acquired Confidata Corp , a unit of & lt ; North Ridge Bank >, paying 500 , 000 dlrs in cash and pledging a guarantee on a 500 , 000 dlr Confidata note held by North Ridge . First Financial , which provides data processing services to community banks and other financial institutions , said the acquisition will expand its customer base ."
20,"COMBUSTION ENGINEERING & lt ; CSP > UNIT IN BUYOUT Combustion Engineering Inc said its C - E Environmental Systems and Services Inc unit agreed in principle to acquire & lt ; E . C . Jordan and Co >, a privately held firm based in Portland , Me . Terms of the acquisition were mot disclosed . Combustion Engineering said C - E Environmental , which provides environmental sciences and management services , had 1986 sales of about 24 mln dlrs ."
21,"FERRUZZI PARIS UNIT SEEN ABSORBING CPC PURCHASE Sources close to Italy ' s & lt ; Gruppo Ferruzzi > said & lt ; European Sugar ( France )>, a French company owned by Ferruzzi , would take over control of & lt ; CPC Industrial Division >, the corn wet milling business acquired by the Italian group earlier this week from CPC International Inc & lt ; CPC >. The sources told Reuters that European Sugar , owned by Ferruzzi subsidiary Eridania Zuccherifici Nazionali SpA & lt ; ERDI . MI >, planned to seek a listing on the Paris bourse and make a share offering there . CPC International announced Tuesday it had agreed in principle to sell its European corn wet millng business to Ferruzzi . The deal is worth 630 mln dlrs ."
22,"LOMAK & lt ; LOMK >, STRATA & lt ; STRATA > IN MERGER PACT Lomak Petroleum Inc and Strata Corp , based in Columbus , Ohio , jointly said they entered into a merger agreement for Strata to become a wholly owned subsidiary of Lomak . Under the merger ' s terms , Strata shareholders will receive 5 . 7 cts per share of Strata common and warrants to buy about . 06 shares of Lomak common at 37 . 5 cts per share on or before December 31 , 1990 , for each Strata common share . The merger is subject to approval by the companies ' boards and shareholders and agreement of certain Strata creditors , among other things , said the companies ."
23,"AMERICANTURE & lt ; AAIX > BUYS AMERICAN ADVENTURE Americanture Inc said it has purchased American Adventure Inc & lt ; GOAQC > for cash , the assumption of liabilities and the issuance of American Adventure Inc common and preferred stock to creditors , shareholders and members . The acquisition was pursuant of a Chapter 11 reorganization plan of American Adventure . The company said the transaction involved assets valued at more than 83 mln dlrs ."
24,"BP & lt ; BP > MAY HAVE TO RAISE BID - ANALYSTS British Petroleum Co PLC may have to raise its planned 70 dlrs a share tender offer for the publicly traded shares of Standard Oil Co & lt ; SRD >, analysts said . "" There ' s a lot of speculation here that someway or other they would be forced to come up with another bid ,"" said Rosario Ilaqua of L . F . Rothschild . And despite BP managing director David Simon ' s denial today that BP would raise the offer , the analysts said that remained a distinct possibility . Analysts said they base their thinking on Royal Dutch / Shell Group ' s & lt ; RD > & lt ; SC > bid to buy the outstanding stake of Shell Oil Co in 1984 and 1985 . Royal Dutch / Shell eventually raised its initial 55 dlrs a share offer to 60 dlrs a share , after lawsuits by minority shareholders . "" I think they ' re going to have to go a little higher eventually , just as Royal Dutch / Shell had to go a little higher for the Shell Oil minority shares ,"" Bruce Lazier of Prescott Ball and Turben said . He estimated a price of 75 dlrs a share . Royal Dutch / Shell offered 55 dlrs a share for the 30 . 5 pct of Shell Oil it did not already own in January of 1984 . After objections from minority shareholders about the price , Royal Dutch / Shell raised its bid and began a 58 dlrs a share tender offer in April 1984 . But shareholders sued and a court blocked completion of the offer . After months of wrangling over the worth of Shell Oil , Royal Dutch / Shell agreed to another two dlrs increase . It ended up paying 5 . 67 billion dlrs for the outstanding Shell Oil stake , a significant premium to its original bid of about 5 . 2 billion dlrs . The analysts made their comments before Simon ' s remarks at a BP press conference in New York this afternoon . Sanford Margoshes of Shearson Lehman Brothers Inc told clients this morning that a sweetened offer was possible . The analyst said the bid could be raised by two dlrs a share . Analysts do not expect regulatory hurdles because of the Royal Dutch / Shell group precedent . But there may be shareholder lawsuits for the same reason , they said . Goldman Sachs and Co , BP ' s investment advisor , advised the Shell Oil board in 1984 and 1985 ."
25,"VIACOM & lt ; VIA > SETS RECORD DATE FOR MERGER VOTE Viacom International Inc said it set April 6 as the record date for shareholders entitled to vote at a special meeting to be held to vote on the proposed merger of Arsenal Acquiring Corp , a wholly - owned subsidiary of & lt ; Arsenal Holdings Inc > into Viacom . It said the date of the special meeting has not yet been determined ."
26,"STANDARD OIL & lt ; SRD > SEES BOOST IN 1987 CASH FLOW Standard Oil Co expects the sale of assets and federal tax refunds resulting from last year ' s loss to add about one billion dlrs to its normal cash flows from operations in 1987 , its annual report said . Last year , the report noted , the cash flow from operations dropped to 1 . 8 billion dlrs from 3 . 5 billion dlrs in 1985 and 3 . 2 billion dlrs in 1984 due principally to lower oil prices . The report , prepared before British Petroleum Co Plc & lt ; BP > disclosed plans to seek the rest of Standard ' s stock , put 1987 capital spending at 1 . 6 billion dlrs , down from the 1 . 7 billion dlrs projected in January . Standard ' s capital spending totaled 1 . 77 billion dlrs in 1986 . The report showed a decline in proven oil reserves to 2 . 41 billion barrels at the end of 1986 from 2 . 65 billion barrels a year earlier as discoveries and other additions dropped to 11 . 4 mln barrels last year from 23 . 2 mln in 1985 . But it said gas reeserves rose to 7 . 31 trillion cubic feet from 7 . 22 trillion at the end of 1985 despite a 30 . 9 mln cubic feet downward revision in previous reserve estimates during 1986 . Discoveries and other additions totaled 200 . 5 billion cubic feet last year , up from 175 . 9 billion in 1985 , it added . Standard said both oil and gas production increased last year -- to 726 , 600 barrels per day from 719 , 700 barrels the previous day and to 154 . 4 mln cubic feet daily from 10 . 1 mln in 1985 . But the average sales price of both dropped -- to 13 . 83 dlrs per barrel from 26 . 43 dlrs for oil in 1985 and to 1 . 49 dlrs per thousand cubic feet from 2 . 18 dlrs a year earlier . Standard said its refined product sales also rose last year , to 644 , 500 barrels per day from 604 , 200 barrels daily in 1985 ."
